Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.5245E-07,1.2552E-07,0.013027,0,0,0,0.54275,0.00058688,-2.8116E-05,1.5174E-09,0.00028904,1.2494E-09,0.00073167,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/base_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/base_link.STL,,底板-1;底座电机壳-2;rs00-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.0053771,-0.0011385,0.038552,0,0,0,0.37961,0.00019575,6.0614E-06,2.553E-06,0.00016059,4.2618E-07,0.00019169,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link1.STL,,云台基座-1;肩部垫块-1;肘部轴承内连接-1;20x27x4-1;rs00-2,坐标系1,基准轴1,Joint1,continuous,0,0,0.0514,0,0,0,base_link,0,0,-1,5,5,,,,,,,,,,
Link2,0.19861,-0.019415,-0.027112,0,0,0,0.63265,0.00023073,0.00021283,-2.0428E-06,0.0020677,-3.5072E-07,0.0021179,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link2.STL,,第一级大臂右-1;肘部垫片右-1;大臂垫片-1;肩部垫块2-1;肩部垫片-2;肩部垫片-1;垫片2-1;垫片2-2;大臂外牌-1;大臂填充-1;肘部垫片-2;肘部垫片-1;第一级大臂-1;Mirror大臂外牌-2;rs00-3,坐标系2,基准轴2,Joint2,revolute,-0.010939,0.025949,0.0425,-1.5708,-0.00097565,0.16603,Link1,0,0,-1,5,5,-0.3,2.6,,,,,,,,
Link3,-0.16918,-0.04234,-0.027922,0,0,0,0.50027,0.00012507,-9.8555E-06,-6.0131E-07,0.0010627,-6.7669E-07,0.0011221,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link3.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link3.STL,,腕区连接打印件-1;20x27x4-3;肩部垫片-4;肩部垫片-3;小臂牌-1;牌子垫片-2;牌子垫片-1;小臂-1;小臂钣金右2-2;小臂钣金左-1;肘部限位打印件-1;肘部关节片-1;肘部连接件-1;20x27x4-2;Mirror小臂牌-2;RS05-2,坐标系3,基准轴3,Joint3,revolute,0.26466,-0.031009,0,0,0,0,Link2,0,0,-1,5,5,-2.36,0.3,,,,,,,,
Link4,-0.052455,-0.054524,-0.025682,0,0,0,0.27416,0.00012695,-2.6532E-05,2.2452E-07,0.00018079,1.7982E-08,0.00012597,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link4.STL,,肘部轴承内连接-3;腕连接钣金-1;腕部电机壳-1;腕部左右限位-1;腕部左右限位-2;RS05.STEP-1,坐标系4,基准轴4,Joint4,revolute,-0.25553,-0.046044,-0.0039,0,0,0,Link3,0,0,-1,1.6,5,-0.8,0.8,,,,,,,,
Link5,-0.00069753,-0.0032664,0.040879,0,0,0,0.23438,6.5833E-05,4.682E-06,2.603E-07,8.781E-05,1.4416E-06,7.0008E-05,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link5.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link5.STL,,腕部钣金-1;腕区连接打印件2-1;腕部初始限位-1;RS05.STEP-2,坐标系5,基准轴5,Joint5,revolute,-0.063304,-0.043146,-0.0245,1.5708,1.3765,3.112,Link4,0,0,-1,1.6,5,-0.8,0.8,,,,,,,,
Link6,0.0024889,-0.0057192,0.037515,0,0,0,0.25842,6.3275E-05,-2.4218E-05,-5.9557E-07,0.00010755,-4.046E-07,0.00014859,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link6.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link6.STL,,夹爪自旋连接1-1;夹爪自旋连接2-2;RS05.STEP-3;intel realsense d435 model-1;D435固定-2;导轨链接打印件1-1;导轨链接钣金-1,坐标系6,基准轴6,Joint6,revolute,0.003658,0.019663,0.045,1.5708,0.0055167,2.9577,Link5,0,0,-1,1.6,5,-2.1,2.1,,,,,,,,
Link8,-1.3531E-16,-8.0214E-15,0.0030448,0,0,0,0.019614,6.0759E-06,-1.3306E-05,7.577E-22,3.0348E-05,2.1085E-22,3.6283E-05,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link8.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link8.STL,,MGN9 Rail1-2,坐标系8,,Joint8,fixed,1.7459E-05,0.00014898,0.075,0,0,0,Link6,0,0,0,,,,,,,,,,,,
Link7,1.993E-11,1.6042E-11,0.0062973,0,0,0,0.0027847,1.8957E-07,-2.0185E-16,4.8123E-17,1.8957E-07,-5.3402E-17,3.3854E-07,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link7.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link7.STL,,夹爪齿轮-1,坐标系7,基准轴7,Joint7,revolute,1.7459E-05,0.00014898,0.058,0,0,0,Link6,0,0,-1,1.6,5,0,1.57,,,,,,,,
Link_r,0.0089236,0.0037835,-0.0070751,0,0,0,0.034938,8.4376E-06,1.4671E-08,-6.1418E-07,9.0041E-06,-2.1554E-08,5.2223E-06,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link_r.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link_r.STL,,夹爪-1;夹爪连接打印件-1;链条连接打印件-2;MGN9-C 11-1;齿条L82W5M 0.9斜-2,坐标系9,基准轴9,right_finger,prismatic,0.037984,0.016907,0.083123,1.5708,-1.5384,-1.1551,Link6,0,0,1,1,0.02,0,0.04,,,,,,,,
Link_l,-0.0091526,-0.0032817,-0.0070751,0,0,0,0.034938,8.4419E-06,5.116E-08,6.1429E-07,8.9999E-06,-1.8265E-08,5.2223E-06,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link_l.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/urdf_camera_gripper/Link_l.STL,,夹爪-2;夹爪连接打印件-2;链条连接打印件-1;MGN9-C 11-2;齿条L82W5M 0.9斜-1,坐标系10,基准轴10,left_finger,prismatic,-0.037949,-0.016609,0.083123,1.5708,1.5384,1.9865,Link6,0,0,1,1,0.02,0,0.04,,,,,,,,
